Log,Strike,Dip,Dip_D
5C,278,30,S
5C,290,36,S
5C,282,38,S
5C,298,42,S
5C,274,42,S
5C,270,36,S
1A,138,30,N
1A,156,26,N
1A,158,30,N
1A,172,28,N
1A,146,25,N
8,260,4,S
8,284,12,S
8,278,10,S
8,288,6,S
8,210,8,S
8,260,12,S
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
