beds_3A,gsize_3A,beds_4A,gsize_4A,beds_5C,gsize_5C
36,3,12,7,,
1.2,5,2,4,,
31,3,27,4,,
8,1,1,6,,
15,5,40,4,,
29,1,0.5,6,,
2.5,3,6,2,,
4.5,6,13,6,,
125,2,4,6,,
6,5,4,6,,
12,1,9,4,,
32,5,2,6,,
6,1,39,2,,
2,4,16,3,,
5,1,1.5,6,,
3,4,56,10,,
5,1,3,7,,
10,5,35,10,,
2,1,35,6,,
44,3,35,6,,
135,2,10,3,,
18,7,5,2,,
14,1,3,6,,
54,3,320,2,,
130,1,609,10,,
11,2,10,4,,
6,1,7,6,,
11,3,11,4,,
22,1,14,2,,
13,3,22,3,,
21,1,1,6,,
12,5,1,6,,
17,1,1,6,,
9,4,16,3,,
75,2,19,2,,
18,4,21,4,,
2,1,13,3,,
23,4,10,3,,
5,2,1,6,,
12,3,7,3,,
53,1,10,4,,
14,4,9,4,,
6,1,6,4,,
27,4,25,4,,
7,1,1,6,,
6,4,49,2,,
9,4,10,3,,
5,1,15,4,,
25,4,18,4,,
140,2,37,2,,
10,3,0.5,6,,
3,1,42,2,,
13,3,0.5,6,,
1,5,36,2,,
10,3,8,4,,
14,3,2,6,,
5,1,6,3,,
11,4,1,6,,
32,2,34,3,,
12,4,640,10,,
110,2,,,,
24,4,,,,
16,1,,,,
15,3,,,,
23,4,,,,
4,3,,,,
7,3,,,,
40,1,,,,
10,4,,,,
91,1,,,,
25,3,,,,
12,6,,,,
100,1,,,,
1.9,5,,,,
131,1,,,,
2,5,,,,
60,1,,,,
13,3,,,,
6,1,,,,
9,3,,,,
1,5,,,,
3,3,,,,
2,1,,,,
5,3,,,,
20,1,,,,
6,4,,,,
74,1,,,,
15,5,,,,
7,1,,,,
10,4,,,,
15,4,,,,
100,1,,,,
1,5,,,,
8,1,,,,
2,4,,,,
6,1,,,,
1,4,,,,
15,1,,,,
6,3,,,,
0.5,1,,,,
44,3,,,,
5,1,,,,
24,4,,,,
8,1,,,,
6,4,,,,
110,1,,,,
6,4,,,,
60,1,,,,
1,5,,,,
1,1,,,,
38,3,,,,
6,1,,,,
15,4,,,,
28,1,,,,
6,2,,,,
7,1,,,,
17,3,,,,
188,1,,,,
9,4,,,,
125,1,,,,
16,3,,,,
65,1,,,,
6,3,,,,
80,1,,,,
5,3,,,,
6,1,,,,
3,3,,,,
10,1,,,,
4,3,,,,
15,1,,,,
6,3,,,,
256,1,,,,
172,2,,,,
15,3,,,,
9,1,,,,
12,3,,,,
29,1,,,,
2.5,3,,,,
3,1,,,,
2.2,3,,,,
9,1,,,,
5,3,,,,
4,1,,,,
6,3,,,,
1,1,,,,
3,3,,,,
2,1,,,,
2,3,,,,
44,1,,,,
1.6,4,,,,
34,5,,,,
104,5,,,,
40,1,,,,
12,3,,,,
12,1,,,,
4,3,,,,
2.5,1,,,,
9,3,,,,
86,1,,,,
4,3,,,,
80,1,,,,
2,3,,,,
90,1,,,,
46,5,,,,
55,5,,,,
12,1,,,,
39,5,,,,
38,5,,,,
