Bed_Number,beds_1A,gsize_1A,facies_1A,lith_1A,amal_1A,beds_1B,gsize_1B,facies_1B,lith_1B,amal_1B,beds_1C,gsize_1C,facies_1C,lith_1C,amal_1C,beds_2A,gsize_2A,facies_2A,lith_2A,amal_2A,beds_3A,gsize_3A,facies_3A,lith_3A,amal_3A,beds_3B,gsize_3B,facies_3B,lith_3B,amal_3B,beds_4A,gsize_4A,facies_4A,lith_4A,amal_4A,beds_5A,gsize_5A,facies_5A,lith_5A,amal_5A,beds_5B,gsize_5B,facies_5B,lith_5B,amal_5B,beds_5C,gsize_5C,facies_5C,lith_5C,amal_5C
163,,,,,,,,,,,,,,,,,,,,,30,1,1,1,0,,,,,,30,2,1,1,0,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,,,,,29,4,4,1,0,,,,,,1,6,3,2,0,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,,,,,29,2,1,1,0,,,,,,14,2,1,1,0,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,,,,49,4,4,1,0,,,,,,11,3,4,1,0,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,,,,,,42,1,1,1,0,,,,,,4,2,1,1,0,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,,10,3,4,1,0,,,,,,5,4,3,1,0,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,,0.5,1,1,1,0,,,,,,8,4,3,1,0,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,,,,,,9,3,3,1,0,,,,,,27,2,1,1,0,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,,,,,,0.5,1,1,1,0,,,,,,7,3,3,1,0,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,,,,,31,4,4,1,0,,,,,,8,4,3,1,0,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,,,,,16,2,1,1,0,,,,,,1.5,6,3,2,0,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,,,,,39,4,4,1,1,,,,,,16,4,4,1,0,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,,,,,10,3,4,1,1,,,,,,35,4,4,1,0,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,,,,,3,5,3,2,0,,,,,,4,6,3,2,0,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,,,,,1,3,3,1,0,,,,,,2,6,3,2,0,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0,,,,,,28,1,1,1,0,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,,,,,,1.5,3,3,1,0,,,,,,13,4,4,1,1,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0,,,,,,26,4,4,1,1,,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,,,,,,,,1.6,3,3,2,0,,,,,,13,4,4,1,1,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0,,,,,,5,6,3,2,0,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,,,,,,,1.5,3,3,2,0,,,,,,21,1,1,1,0,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0,,,,,,20,2,1,1,0,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,,,,,,1.6,3,3,2,0,,,,,,6,4,3,1,0,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,,,,,,22,2,1,1,0,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,,,,,,1.1,3,3,2,0,,,,,,1,4,3,1,0,,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,,,,,,,,3,1,1,1,0,,,,,,12,2,1,1,0,,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,,,,,,,,15,4,4,1,0,,,,,,2,6,3,2,0,,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,,,,,,,,8,1,1,1,0,,,,,,17,2,1,1,0,,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,,,,,,,,5,3,3,1,0,,,,,,15,5,4,1,0,,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,,,,,,,,7,1,1,1,0,,,,,,1,6,3,2,0,,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,,,,,,,,7,3,3,1,0,,,,,,8,4,3,1,0,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,,,,,,,20,1,1,1,0,,,,,,4,7,3,2,0,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,,,,,,26,3,4,1,0,,,,,,34,2,1,1,0,,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,,,,,,,,7,1,1,1,0,,,,,,39,4,4,1,1,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,,,,,,14,3,4,1,0,,,,,,1,6,3,2,1,,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,,,,,,,,3,1,1,1,0,,,,,,20,4,4,1,1,,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,,,,,,,,15,3,4,1,1,,,,,,1,6,3,2,1,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,,,,,,11,3,4,1,1,,,,,,42,4,4,1,1,,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,,,,,,,,57,2,1,1,0,,,,,,3,6,3,2,1,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,,,,,,3,5,3,2,0,,,,,,5,6,3,2,1,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,,,,,,,,3,1,1,1,0,,,,,,4,6,3,2,1,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,,,,,,,,0.5,4,3,2,0,,,,,,125,2,1,1,0,,,,,,,,,,,,,,,
205,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0,,,,,,15,4,4,1,1,,,,,,,,,,,,,,,
206,,,,,,,,,,,,,,,,,,,,,0.5,4,3,2,0,,,,,,30,4,4,1,1,,,,,,,,,,,,,,,
207,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0,,,,,,0.5,6,3,2,1,,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,,,,,,,,0.5,4,3,2,0,,,,,,12,4,4,1,1,,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,,,,,,,,4,1,1,1,0,,,,,,0.5,6,3,2,1,,,,,,,,,,,,,,,
210,,,,,,,,,,,,,,,,,,,,,2.5,4,3,2,0,,,,,,70,10,7,2,0,,,,,,,,,,,,,,,
211,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,,,,,,7,3,3,1,1,,,,,,,,,,,,,,,
212,,,,,,,,,,,,,,,,,,,,,5,4,3,2,0,,,,,,10,4,4,1,1,,,,,,,,,,,,,,,
213,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,,,,,,3,6,3,2,1,,,,,,,,,,,,,,,
214,,,,,,,,,,,,,,,,,,,,,0.5,4,3,2,0,,,,,,31,4,4,1,1,,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0,,,,,,0.5,6,3,2,1,,,,,,,,,,,,,,,
216,,,,,,,,,,,,,,,,,,,,,3,4,3,2,0,,,,,,48,4,4,1,1,,,,,,,,,,,,,,,
217,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,,,,,,2,6,3,2,1,,,,,,,,,,,,,,,
218,,,,,,,,,,,,,,,,,,,,,2,4,3,2,0,,,,,,19,2,1,1,0,,,,,,,,,,,,,,,
219,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,,,,,,15,4,4,1,0,,,,,,,,,,,,,,,
220,,,,,,,,,,,,,,,,,,,,,1.5,4,3,2,0,,,,,,13,4,4,1,0,,,,,,,,,,,,,,,
221,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0,,,,,,3,6,3,2,0,,,,,,,,,,,,,,,
222,,,,,,,,,,,,,,,,,,,,,5.5,4,3,1,0,,,,,,33,2,1,1,0,,,,,,,,,,,,,,,
223,,,,,,,,,,,,,,,,,,,,,15,1,1,1,0,,,,,,13,4,4,1,0,,,,,,,,,,,,,,,
224,,,,,,,,,,,,,,,,,,,,,11,3,4,1,0,,,,,,75,2,1,1,0,,,,,,,,,,,,,,,
225,,,,,,,,,,,,,,,,,,,,,41,1,1,1,0,,,,,,2,6,3,2,0,,,,,,,,,,,,,,,
226,,,,,,,,,,,,,,,,,,,,,21,5,4,2,1,,,,,,13,3,4,1,0,,,,,,,,,,,,,,,
227,,,,,,,,,,,,,,,,,,,,,3,5,3,2,1,,,,,,12,2,1,1,0,,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,,,,,,,,84,1,1,1,0,,,,,,0.5,6,3,2,0,,,,,,,,,,,,,,,
229,,,,,,,,,,,,,,,,,,,,,32,5,4,2,1,,,,,,11,2,1,1,0,,,,,,,,,,,,,,,
230,,,,,,,,,,,,,,,,,,,,,34,3,4,1,1,,,,,,4,4,3,1,0,,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,,,,,,,,43,1,1,1,0,,,,,,5,6,3,2,0,,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,,,,,,,,1.5,5,3,2,0,,,,,,13,2,1,1,0,,,,,,,,,,,,,,,
233,,,,,,,,,,,,,,,,,,,,,50,1,1,1,0,,,,,,8,6,3,2,0,,,,,,,,,,,,,,,
234,,,,,,,,,,,,,,,,,,,,,1.5,4,3,2,0,,,,,,609,10,6,1,0,,,,,,,,,,,,,,,
235,,,,,,,,,,,,,,,,,,,,,10,1,1,1,0,,,,,,5.2,6,3,2,0,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,,,,,,,36,3,4,1,1,,,,,,52,2,1,1,0,,,,,,,,,,,,,,,
237,,,,,,,,,,,,,,,,,,,,,31,3,4,1,1,,,,,,7,3,3,1,0,,,,,,,,,,,,,,,
238,,,,,,,,,,,,,,,,,,,,,16,3,4,1,1,,,,,,3,6,3,2,0,,,,,,,,,,,,,,,
239,,,,,,,,,,,,,,,,,,,,,15,3,4,1,1,,,,,,5,2,1,1,0,,,,,,,,,,,,,,,
240,,,,,,,,,,,,,,,,,,,,,8,3,3,1,1,,,,,,9,3,3,1,1,,,,,,,,,,,,,,,
241,,,,,,,,,,,,,,,,,,,,,47,1,1,1,0,,,,,,7,3,3,1,1,,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,,,,,,,,1.5,4,3,2,0,,,,,,3,3,3,1,1,,,,,,,,,,,,,,,
243,,,,,,,,,,,,,,,,,,,,,5,1,1,1,0,,,,,,4,3,3,1,1,,,,,,,,,,,,,,,
244,,,,,,,,,,,,,,,,,,,,,9,2,1,1,0,,,,,,1,6,3,2,1,,,,,,,,,,,,,,,
245,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0,,,,,,14,3,4,1,0,,,,,,,,,,,,,,,
246,,,,,,,,,,,,,,,,,,,,,40,4,4,1,0,,,,,,6,6,3,2,0,,,,,,,,,,,,,,,
247,,,,,,,,,,,,,,,,,,,,,20,5,4,2,0,,,,,,39,3,4,1,0,,,,,,,,,,,,,,,
248,,,,,,,,,,,,,,,,,,,,,22,1,1,1,0,,,,,,2,6,3,2,0,,,,,,,,,,,,,,,
249,,,,,,,,,,,,,,,,,,,,,1,5,3,2,0,,,,,,22,3,4,1,0,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,,,,,,3,1,1,1,0,,,,,,7,2,1,1,0,,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,,,,,,,,4,5,3,2,0,,,,,,1,6,3,2,0,,,,,,,,,,,,,,,
252,,,,,,,,,,,,,,,,,,,,,20,1,1,1,0,,,,,,47,3,4,1,0,,,,,,,,,,,,,,,
253,,,,,,,,,,,,,,,,,,,,,37,2,1,1,0,,,,,,1,6,3,2,0,,,,,,,,,,,,,,,
254,,,,,,,,,,,,,,,,,,,,,70,2,1,1,0,,,,,,10,2,1,1,0,,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,,,,,,,,11,3,4,1,0,,,,,,10,4,4,1,0,,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,,,,,,,,10,2,1,1,0,,,,,,4,6,3,2,0,,,,,,,,,,,,,,,
257,,,,,,,,,,,,,,,,,,,,,4,3,3,1,0,,,,,,20,2,1,1,0,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,,,,,,42,5,4,1,0,,,,,,1,6,3,2,0,,,,,,,,,,,,,,,
259,,,,,,,,,,,,,,,,,,,,,11,1,1,1,0,,,,,,51,2,1,1,0,,,,,,,,,,,,,,,
260,,,,,,,,,,,,,,,,,,,,,36,3,4,1,0,,,,,,6,4,3,1,0,,,,,,,,,,,,,,,
261,,,,,,,,,,,,,,,,,,,,,5,1,1,1,0,,,,,,11,2,1,1,0,,,,,,,,,,,,,,,
262,,,,,,,,,,,,,,,,,,,,,36,3,4,1,0,,,,,,1,6,3,2,0,,,,,,,,,,,,,,,
263,,,,,,,,,,,,,,,,,,,,,5,1,1,1,0,,,,,,2,2,1,1,0,,,,,,,,,,,,,,,
264,,,,,,,,,,,,,,,,,,,,,26,4,4,1,0,,,,,,8,4,3,1,0,,,,,,,,,,,,,,,
265,,,,,,,,,,,,,,,,,,,,,36,1,1,1,0,,,,,,106,10,6,1,0,,,,,,,,,,,,,,,
266,,,,,,,,,,,,,,,,,,,,,8,3,3,1,0,,,,,,5,6,3,2,0,,,,,,,,,,,,,,,
267,,,,,,,,,,,,,,,,,,,,,0.5,1,3,2,0,,,,,,16,2,1,1,0,,,,,,,,,,,,,,,
268,,,,,,,,,,,,,,,,,,,,,13,3,1,1,0,,,,,,28,4,4,1,0,,,,,,,,,,,,,,,
269,,,,,,,,,,,,,,,,,,,,,3,1,3,2,0,,,,,,9,3,3,1,0,,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,,,,,,,,7,3,3,1,0,,,,,,22,2,1,1,0,,,,,,,,,,,,,,,
271,,,,,,,,,,,,,,,,,,,,,140,1,1,1,0,,,,,,8,3,3,1,0,,,,,,,,,,,,,,,
272,,,,,,,,,,,,,,,,,,,,,5,3,3,1,0,,,,,,80,2,1,1,0,,,,,,,,,,,,,,,
273,,,,,,,,,,,,,,,,,,,,,1.5,5,3,2,0,,,,,,38,3,3,1,1,,,,,,,,,,,,,,,
274,,,,,,,,,,,,,,,,,,,,,33,3,4,1,0,,,,,,4,6,3,2,1,,,,,,,,,,,,,,,
275,,,,,,,,,,,,,,,,,,,,,50,1,1,1,0,,,,,,6,2,1,1,0,,,,,,,,,,,,,,,
276,,,,,,,,,,,,,,,,,,,,,9,3,3,1,0,,,,,,37,4,4,1,1,,,,,,,,,,,,,,,
277,,,,,,,,,,,,,,,,,,,,,0.5,5,3,2,0,,,,,,48,5,4,1,1,,,,,,,,,,,,,,,
278,,,,,,,,,,,,,,,,,,,,,7,3,3,1,0,,,,,,20,2,1,1,0,,,,,,,,,,,,,,,
279,,,,,,,,,,,,,,,,,,,,,0.5,5,3,2,0,,,,,,23,4,4,1,0,,,,,,,,,,,,,,,
280,,,,,,,,,,,,,,,,,,,,,10,3,4,1,0,,,,,,14,4,4,1,0,,,,,,,,,,,,,,,
281,,,,,,,,,,,,,,,,,,,,,30,1,1,1,0,,,,,,14,4,4,1,0,,,,,,,,,,,,,,,
282,,,,,,,,,,,,,,,,,,,,,2,6,3,2,0,,,,,,1,6,3,2,0,,,,,,,,,,,,,,,
283,,,,,,,,,,,,,,,,,,,,,71,3,4,1,0,,,,,,7,3,3,1,0,,,,,,,,,,,,,,,
284,,,,,,,,,,,,,,,,,,,,,14,2,1,1,0,,,,,,25,4,4,1,0,,,,,,,,,,,,,,,
285,,,,,,,,,,,,,,,,,,,,,36,3,4,1,0,,,,,,12,7,4,2,0,,,,,,,,,,,,,,,
286,,,,,,,,,,,,,,,,,,,,,1.2,5,3,2,0,,,,,,2,4,3,1,0,,,,,,,,,,,,,,,
287,,,,,,,,,,,,,,,,,,,,,31,3,4,1,0,,,,,,27,4,4,1,1,,,,,,,,,,,,,,,
288,,,,,,,,,,,,,,,,,,,,,8,1,1,1,0,,,,,,1,6,3,2,1,,,,,,,,,,,,,,,
289,,,,,,,,,,,,,,,,,,,,,15,5,2,1,0,,,,,,40,4,4,1,1,,,,,,,,,,,,,,,
290,,,,,,,,,,,,,,,,,,,,,29,1,1,1,0,,,,,,0.5,6,3,2,0,,,,,,,,,,,,,,,
291,,,,,,,,,,,,,,,,,,,,,2.5,3,3,1,0,,,,,,6,2,1,1,0,,,,,,,,,,,,,,,
292,,,,,,,,,,,,,,,,,,,,,4.5,6,3,2,0,,,,,,13,6,4,1,0,,,,,,,,,,,,,,,
293,,,,,,,,,,,,,,,,,,,,,125,2,1,1,0,,,,,,4,6,3,1,0,,,,,,,,,,,,,,,
294,,,,,,,,,,,,,,,,,,,,,6,5,3,2,0,,,,,,4,6,3,1,0,,,,,,,,,,,,,,,
295,,,,,,,,,,,,,,,,,,,,,12,1,1,1,0,,,,,,9,4,3,1,1,,,,,,,,,,,,,,,
296,,,,,,,,,,,,,,,,,,,,,32,5,4,1,0,,,,,,2,6,3,2,1,,,,,,,,,,,,,,,
297,,,,,,,,,,,,,,,,,,,,,6,1,1,1,0,,,,,,39,2,1,1,0,,,,,,,,,,,,,,,
298,,,,,,,,,,,,,,,,,,,,,2,4,3,1,0,,,,,,16,3,4,1,0,,,,,,,,,,,,,,,
299,,,,,,,,,,,,,,,,,,,,,5,1,1,1,0,,,,,,1.5,6,3,2,0,,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,,,,,,3,4,3,1,0,,,,,,56,10,6,2,0,,,,,,,,,,,,,,,
301,,,,,,,,,,,,,,,,,,,,,5,1,1,1,0,,,,,,3,7,3,2,0,,,,,,,,,,,,,,,
302,,,,,,,,,,,,,,,,,,,,,10,5,4,1,0,,,,,,35,10,6,2,0,,,,,,,,,,,,,,,
303,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0,,,,,,35,6,2,2,0,,,,,,,,,,,,,,,
304,,,,,,,,,,,,,,,,,,,,,44,3,4,1,0,,,,,,35,6,2,2,0,,,,,,,,,,,,,,,
305,,,,,,,,,,,,,,,,,,,,,135,2,6,1,0,,,,,,10,3,4,1,0,,,,,,,,,,,,,,,
306,,,,,,,,,,,,,,,,,,,,,18,7,6,1,0,,,,,,5,2,1,1,0,,,,,,,,,,,,,,,
307,,,,,,,,,,,,,,,,,,,,,14,1,1,1,0,,,,,,3,6,3,2,0,,,,,,,,,,,,,,,
308,,,,,,,,,,,,,,,,,,,,,54,3,4,1,0,,,,,,320,2,1,1,0,,,,,,,,,,,,,,,
309,,,,,,,,,,,,,,,,,,,,,130,1,1,1,0,,,,,,609,10,7,2,1,,,,,,,,,,,,,,,
310,,,,,,,,,,,,,,,,,,,,,11,2,1,1,0,,,,,,10,4,4,1,1,,,,,,,,,,,,,,,
311,,,,,,,,,,,,,,,,,,,,,6,1,1,1,0,,,,,,7,6,3,2,1,,,,,,,,,,,,,,,
312,,,,,,,,,,,,,,,,,,,,,11,3,4,1,0,,,,,,11,4,4,1,1,,,,,,,,,,,,,,,
313,,,,,,,,,,,,,,,,,,,,,22,1,1,1,0,,,,,,14,2,1,1,0,,,,,,,,,,,,,,,
314,,,,,,,,,,,,,,,,,,,,,13,3,4,1,0,,,,,,22,3,4,3,1,,,,,,,,,,,,,,,
315,,,,,,,,,,,,,,,,,,,,,21,1,1,1,0,,,,,,1,6,3,2,1,,,,,,,,,,,,,,,
316,,,,,,,,,,,,,,,,,,,,,12,5,4,1,0,,,,,,1,6,3,2,1,,,,,,,,,,,,,,,
317,,,,,,,,,,,,,,,,,,,,,17,1,1,1,0,,,,,,1,6,3,2,1,,,,,,,,,,,,,,,
318,,,,,,,,,,,,,,,,,,,,,9,4,3,1,0,,,,,,16,3,4,1,1,,,,,,,,,,,,,,,
319,,,,,,,,,,,,,,,,,,,,,75,2,1,1,0,,,,,,19,2,1,1,0,,,,,,,,,,,,,,,
320,,,,,,,,,,,,,,,,,,,,,18,4,4,1,0,,,,,,21,4,4,1,1,,,,,,,,,,,,,,,
321,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0,,,,,,13,3,4,1,1,,,,,,,,,,,,,,,
322,,,,,,,,,,,,,,,,,,,,,23,4,4,1,0,,,,,,10,3,4,1,1,,,,,,,,,,,,,,,
323,,,,,,,,,,,,,,,,,,,,,5,2,1,1,0,,,,,,1,6,3,2,1,,,,,,,,,,,,,,,
324,,,,,,,,,,,,,,,,,,,,,12,3,4,1,0,,,,,,7,3,3,1,0,,,,,,,,,,,,,,,
325,,,,,,,,,,,,,,,,,,,,,53,1,1,1,0,,,,,,10,4,4,1,0,,,,,,,,,,,,,,,
326,,,,,,,,,,,,,,,,,,,,,14,4,4,1,0,,,,,,9,4,3,1,1,,,,,,,,,,,,,,,
327,,,,,,,,,,,,,,,,,,,,,6,1,1,1,0,,,,,,6,4,3,1,1,,,,,,,,,,,,,,,
328,,,,,,,,,,,,,,,,,,,,,27,4,4,1,0,,,,,,25,4,4,1,1,,,,,,,,,,,,,,,
329,,,,,,,,,,,,,,,,,,,,,7,1,1,1,0,,,,,,1,6,3,2,1,,,,,,,,,,,,,,,
330,,,,,,,,,,,,,,,,,,,,,6,4,3,1,1,,,,,,49,2,1,1,0,,,,,,,,,,,,,,,
331,,,,,,,,,,,,,,,,,,,,,9,4,3,1,1,,,,,,10,3,4,1,1,,,,,,,,,,,,,,,
332,,,,,,,,,,,,,,,,,,,,,5,1,1,1,0,,,,,,15,4,4,1,1,,,,,,,,,,,,,,,
333,,,,,,,,,,,,,,,,,,,,,25,4,4,1,0,,,,,,18,4,4,1,1,,,,,,,,,,,,,,,
334,,,,,,,,,,,,,,,,,,,,,140,2,1,1,0,,,,,,37,2,1,1,0,,,,,,,,,,,,,,,
335,,,,,,,,,,,,,,,,,,,,,10,3,4,1,0,,,,,,0.5,6,3,2,0,,,,,,,,,,,,,,,
336,,,,,,,,,,,,,,,,,,,,,3,1,1,1,0,,,,,,42,2,1,1,0,,,,,,,,,,,,,,,
337,,,,,,,,,,,,,,,,,,,,,13,3,4,1,0,,,,,,0.5,6,3,2,0,,,,,,,,,,,,,,,
338,,,,,,,,,,,,,,,,,,,,,1,5,3,1,0,,,,,,36,2,1,1,0,,,,,,,,,,,,,,,
339,,,,,,,,,,,,,,,,,,,,,10,3,4,1,0,,,,,,8,4,3,1,0,,,,,,,,,,,,,,,
340,,,,,,,,,,,,,,,,,,,,,14,3,4,1,0,,,,,,2,6,1,2,0,,,,,,,,,,,,,,,
341,,,,,,,,,,,,,,,,,,,,,5,1,1,1,0,,,,,,6,3,3,1,0,,,,,,,,,,,,,,,
342,,,,,,,,,,,,,,,,,,,,,11,4,4,1,0,,,,,,1,6,3,2,0,,,,,,,,,,,,,,,
343,,,,,,,,,,,,,,,,,,,,,32,2,1,1,0,,,,,,34,3,4,1,0,,,,,,,,,,,,,,,
344,,,,,,,,,,,,,,,,,,,,,12,4,4,1,0,,,,,,640,10,7,2,0,,,,,,,,,,,,,,,
345,,,,,,,,,,,,,,,,,,,,,110,2,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
346,,,,,,,,,,,,,,,,,,,,,24,4,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
347,,,,,,,,,,,,,,,,,,,,,16,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
348,,,,,,,,,,,,,,,,,,,,,15,3,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
349,,,,,,,,,,,,,,,,,,,,,23,4,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
350,,,,,,,,,,,,,,,,,,,,,4,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
351,,,,,,,,,,,,,,,,,,,,,7,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
352,,,,,,,,,,,,,,,,,,,,,40,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
353,,,,,,,,,,,,,,,,,,,,,10,4,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
354,,,,,,,,,,,,,,,,,,,,,91,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
355,,,,,,,,,,,,,,,,,,,,,25,3,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
356,,,,,,,,,,,,,,,,,,,,,12,6,4,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
357,,,,,,,,,,,,,,,,,,,,,100,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
358,,,,,,,,,,,,,,,,,,,,,1.9,5,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
359,,,,,,,,,,,,,,,,,,,,,131,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
360,,,,,,,,,,,,,,,,,,,,,2,5,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
361,,,,,,,,,,,,,,,,,,,,,60,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
362,,,,,,,,,,,,,,,,,,,,,13,3,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
363,,,,,,,,,,,,,,,,,,,,,6,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
364,,,,,,,,,,,,,,,,,,,,,9,3,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
365,,,,,,,,,,,,,,,,,,,,,1,5,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
366,,,,,,,,,,,,,,,,,,,,,3,3,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
367,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
368,,,,,,,,,,,,,,,,,,,,,5,3,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
369,,,,,,,,,,,,,,,,,,,,,20,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
370,,,,,,,,,,,,,,,,,,,,,6,4,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
371,,,,,,,,,,,,,,,,,,,,,74,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
372,,,,,,,,,,,,,,,,,,,,,15,5,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
373,,,,,,,,,,,,,,,,,,,,,7,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
374,,,,,,,,,,,,,,,,,,,,,10,4,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
375,,,,,,,,,,,,,,,,,,,,,15,4,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
376,,,,,,,,,,,,,,,,,,,,,100,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
377,,,,,,,,,,,,,,,,,,,,,1,5,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
378,,,,,,,,,,,,,,,,,,,,,8,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
379,,,,,,,,,,,,,,,,,,,,,2,4,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
380,,,,,,,,,,,,,,,,,,,,,6,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
381,,,,,,,,,,,,,,,,,,,,,1,4,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
382,,,,,,,,,,,,,,,,,,,,,15,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
383,,,,,,,,,,,,,,,,,,,,,6,3,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
384,,,,,,,,,,,,,,,,,,,,,0.5,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
