log,lat,long,z,meanthickness,meangsize
1A,41.19944444,48.24527778,1750,17.63636364,3.090909091
1B,41.20166667,48.25444444,1680,44.75,3.875
1C,41.20194444,48.25166667,1530,26.71698113,3.693548387
2B,41.195161,48.259659,1678,14.2724528,3.70188679
3B,41.202191,48.261274,1592,14.6818182,3.93181818
4A,41.202454,48.268674,1656,13.13976834,4.266409266
