Bed_Number,beds_1A,gsize_1A,amal_1A,beds_1B,gsize_1B,amal_1B,beds_1C,gsize_1C,amal_1C,beds_2A,gsize_2A,amal_2A,beds_3A,gsize_3A,amal_3A,beds_3B,gsize_3B,amal_3B,beds_4A,gsize_4A,amal_4A
82,,,,,,,26,1,0,,,,1,4,0,,,,8,3,0
83,,,,,,,26,2,0,,,,26,3,0,,,,9,3,0
84,,,,,,,78,1,0,,,,20,1,0,,,,3,1,0
85,,,,,,,33,2,0,,,,95,2,0,,,,10,3,0
86,,,,,,,24,1,0,,,,11,3,0,,,,16,3,0
87,,,,,,,7,3,0,,,,9,1,0,,,,6,6,0
88,,,,,,,8,1,0,,,,8,3,0,,,,4,6,0
89,,,,,,,14,4,0,,,,1,5,0,,,,35,2,0
90,,,,,,,18,1,0,,,,6,3,0,,,,26,4,1
91,,,,,,,28,3,0,,,,1,5,0,,,,20,5,1
92,,,,,,,58,2,0,,,,8,3,0,,,,7,3,0
93,,,,,,,12,3,1,,,,2,5,0,,,,65,1,0
94,,,,,,,10,2,1,,,,7,3,0,,,,25,3,1
95,,,,,,,12,3,1,,,,1,5,0,,,,27,3,1
96,,,,,,,22,1,0,,,,61,1,0,,,,3,6,1
97,,,,,,,39,4,1,,,,20,3,0,,,,20,3,1
98,,,,,,,25,3,1,,,,2,5,0,,,,15,2,0
99,,,,,,,65,2,0,,,,81,1,0,,,,40,1,0
100,,,,,,,80,4,0,,,,6,3,0,,,,11,10,0
101,,,,,,,30,1,0,,,,3,5,0,,,,13,10,0
102,,,,,,,20,3,0,,,,45,2,0,,,,4,5,0
103,,,,,,,2,2,0,,,,13,3,0,,,,5,6,0
104,,,,,,,40,3,0,,,,44,2,0,,,,21,3,0
105,,,,,,,14,2,0,,,,6,3,0,,,,24,2,0
106,,,,,,,30,3,0,,,,2,5,0,,,,16,3,0
107,,,,,,,,,,,,,37,3,0,,,,5,4,0
108,,,,,,,,,,,,,122,2,0,,,,20,3,0
109,,,,,,,,,,,,,1,6,0,,,,10,2,0
110,,,,,,,,,,,,,1,1,0,,,,13,3,0
111,,,,,,,,,,,,,6,5,0,,,,14,3,0
112,,,,,,,,,,,,,35,1,0,,,,4,6,0
113,,,,,,,,,,,,,11,3,0,,,,21,3,0
114,,,,,,,,,,,,,11,1,0,,,,22,2,0
115,,,,,,,,,,,,,5,6,0,,,,16,3,1
116,,,,,,,,,,,,,25,3,0,,,,22,3,1
117,,,,,,,,,,,,,2,4,0,,,,10,3,1
118,,,,,,,,,,,,,22,3,0,,,,20,4,1
119,,,,,,,,,,,,,280,2,0,,,,200,1,0
120,,,,,,,,,,,,,13,5,0,,,,15,2,0
121,,,,,,,,,,,,,58,2,0,,,,17,5,1
122,,,,,,,,,,,,,1,5,0,,,,35,5,1
123,,,,,,,,,,,,,67,1,0,,,,18,4,1
124,,,,,,,,,,,,,4,6,0,,,,8,4,1
125,,,,,,,,,,,,,63,1,0,,,,3,6,1
126,,,,,,,,,,,,,63,3,0,,,,62,2,0
127,,,,,,,,,,,,,52,1,0,,,,20,3,1
128,,,,,,,,,,,,,8,3,0,,,,15,3,1
129,,,,,,,,,,,,,28,1,0,,,,13,1,0
130,,,,,,,,,,,,,5,3,0,,,,16,10,0
131,,,,,,,,,,,,,19,1,0,,,,7,6,0
132,,,,,,,,,,,,,1,5,0,,,,52,2,0
133,,,,,,,,,,,,,16,3,1,,,,6,3,0
134,,,,,,,,,,,,,9,3,1,,,,2,7,0
135,,,,,,,,,,,,,41,1,0,,,,80,2,0
136,,,,,,,,,,,,,11,3,0,,,,10,3,0
137,,,,,,,,,,,,,18,1,0,,,,76,2,0
138,,,,,,,,,,,,,11,2,1,,,,6,3,0
139,,,,,,,,,,,,,11,2,1,,,,20,1,0
140,,,,,,,,,,,,,0.5,1,0,,,,13,3,0
141,,,,,,,,,,,,,11,2,1,,,,6,4,0
142,,,,,,,,,,,,,5,5,1,,,,2,6,0
143,,,,,,,,,,,,,8,1,0,,,,0.5,6,0
144,,,,,,,,,,,,,2,5,0,,,,0.5,6,0
145,,,,,,,,,,,,,11,3,0,,,,0.5,6,0
146,,,,,,,,,,,,,30,1,0,,,,0.5,6,0
147,,,,,,,,,,,,,7,5,1,,,,0.5,6,0
148,,,,,,,,,,,,,9,5,1,,,,12,3,0
149,,,,,,,,,,,,,8,3,0,,,,22,3,0
150,,,,,,,,,,,,,100,1,0,,,,10,3,0
151,,,,,,,,,,,,,3,5,0,,,,2,7,0
152,,,,,,,,,,,,,9,1,0,,,,2,7,0
153,,,,,,,,,,,,,9,4,1,,,,1,7,0
154,,,,,,,,,,,,,10,4,1,,,,34,2,0
155,,,,,,,,,,,,,11,4,1,,,,17,3,0
156,,,,,,,,,,,,,22,4,1,,,,8,3,0
157,,,,,,,,,,,,,11,5,1,,,,14,2,0
158,,,,,,,,,,,,,2,6,0,,,,13,3,0
159,,,,,,,,,,,,,119,2,0,,,,22,2,0
160,,,,,,,,,,,,,20,4,0,,,,11,3,0
161,,,,,,,,,,,,,9,1,0,,,,15,4,0
162,,,,,,,,,,,,,4,5,0,,,,12,3,0
163,,,,,,,,,,,,,30,1,0,,,,30,2,0
164,,,,,,,,,,,,,29,4,0,,,,1,6,0
165,,,,,,,,,,,,,29,2,0,,,,14,2,0
